City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
230,Xining,CN,36.6167,101.7667,60.62,45,82,7.38,broken clouds
231,Vestmannaeyjar,IS,63.4427,-20.2734,45.07,81,9,16.67,clear sky
232,Troitskoye,RU,52.9821,84.6757,63.09,55,32,4.56,scattered clouds
233,Kavieng,PG,-2.5744,150.7967,83.5,77,100,11.59,moderate rain
234,Yar-Sale,RU,66.8333,70.8333,39.11,51,18,14.16,few clouds
235,Rangoon,MM,16.8053,96.1561,84.54,65,97,5.84,overcast clouds
236,Bengkulu,ID,-3.8004,102.2655,79.93,76,45,3.87,scattered clouds
237,Santiago,CL,-33.4569,-70.6483,63.18,47,75,0.74,broken clouds
238,Mahon,ES,39.8885,4.2658,64.96,82,0,4.61,clear sky
239,Cidreira,BR,-30.1811,-50.2056,48.52,65,24,7.31,few clouds
240,Morinville,CA,53.8001,-113.652,74.79,27,1,5.79,clear sky
241,Colac,AU,-38.3333,143.5833,52.18,44,24,7.85,few clouds
242,Bograd,RU,54.2344,90.8328,53.35,52,1,4.68,clear sky
243,Juegang,CN,32.3174,121.1855,79.16,54,100,11.99,overcast clouds
244,Mayo,US,38.8876,-76.5119,54.95,87,87,5.99,overcast clouds
245,Bandarbeyla,SO,9.4942,50.8122,77.97,83,90,22.59,overcast clouds
246,Egvekinot,RU,66.3167,-179.1667,47.52,39,48,4.29,scattered clouds
247,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,53,20,6.91,few clouds
248,Iberia,US,29.9502,-91.7507,78.8,61,1,6.93,clear sky
249,Provideniya,RU,64.3833,-173.3,51.91,46,0,22.37,clear sky
250,Botshabelo,ZA,-29.2702,26.7052,27.77,70,0,6.91,clear sky
251,Souillac,MU,-20.5167,57.5167,72.36,94,20,6.76,light rain
252,Gogrial,SS,8.5332,28.1004,81.75,51,13,1.88,few clouds
253,Mar Del Plata,AR,-38.0023,-57.5575,49.08,69,0,10.0,clear sky
254,Troy,US,42.6056,-83.1499,64.35,52,1,1.01,clear sky
255,Dakar,SN,14.6937,-17.4441,72.48,94,99,6.91,overcast clouds
